x,y
-1.0,14.0
-0.999,13.992000001000001
-0.998,13.984000008
-0.997,13.976000027000001
-0.996,13.968000064
-0.995,13.960000125
-0.994,13.952000216
-0.993,13.944000342999999
-0.992,13.936000512
-0.991,13.928000729
-0.99,13.920001
-0.989,13.912001330999999
-0.988,13.904001727999999
-0.987,13.896002197
-0.986,13.888002744
-0.985,13.880003375
-0.984,13.872004096
-0.983,13.864004912999999
-0.982,13.856005832000001
-0.981,13.848006859
-0.98,13.840008000000001
-0.979,13.832009261
-0.978,13.824010648
-0.977,13.816012167
-0.976,13.808013824
-0.975,13.800015625
-0.974,13.792017576
-0.973,13.784019683
-0.972,13.776021951999999
-0.971,13.768024388999999
-0.97,13.760027000000001
-0.969,13.752029791
-0.968,13.744032768
-0.967,13.736035937
-0.966,13.728039304
-0.965,13.720042875
-0.964,13.712046656
-0.963,13.704050653
-0.962,13.696054872
-0.961,13.688059319
-0.96,13.680064
-0.959,13.672068921
-0.958,13.664074088
-0.957,13.656079507000001
-0.956,13.648085184
-0.955,13.640091125
-0.954,13.632097336
-0.953,13.624103822999999
-0.952,13.616110592
-0.951,13.608117649
-0.95,13.600125
-0.949,13.592132651
-0.948,13.584140608
-0.947,13.576148877
-0.946,13.568157463999999
-0.945,13.560166375
-0.944,13.552175616
-0.943,13.544185192999999
-0.942,13.536195112
-0.941,13.528205379
-0.94,13.520216
-0.9390000000000001,13.512226981000001
-0.938,13.504238328
-0.937,13.496250047
-0.9359999999999999,13.488262144
-0.935,13.480274625
-0.9339999999999999,13.472287496
-0.933,13.464300763
-0.9319999999999999,13.456314432
-0.931,13.448328509
-0.9299999999999999,13.440342999999999
-0.929,13.432357911
-0.9279999999999999,13.424373247999998
-0.927,13.416389017
-0.926,13.408405224
-0.925,13.400421875
-0.924,13.392438976000001
-0.923,13.384456533
-0.922,13.376474552000001
-0.921,13.368493039
-0.92,13.360512
-0.919,13.352531441
-0.918,13.344551368
-0.917,13.336571787
-0.916,13.328592704
-0.915,13.320614125
-0.914,13.312636056
-0.913,13.304658503
-0.912,13.296681472
